"","Bas","Bmem","Bnv","CD4mem","CD4nv","CD8mem","CD8nv","Eos","Mono","Neu","NK","Treg"
"202172220017_R01C01",0.53,0.96,1.3,0.67,0,6.29,0,9.18,11.48,60.79,6.15,0.41
"202172220017_R02C01",0.97,2.21,0.55,9.38,0,14.81,0,2.38,8.01,53.35,6.55,0
"202172220017_R03C01",0,0.24,1.21,10.82,6.63,8.92,0.31,3.08,5.35,57.3,3.61,0
"202172220017_R05C01",2.27,0,4.46,3.93,4.28,19.16,0.68,0,3.61,52.98,2.61,6.01
"202172220017_R06C01",4.7,1.31,5.94,10,0,3.56,1.95,7.41,11.38,51.86,0.95,0
"202172220017_R08C01",0.42,1.24,0.88,11.27,3.67,4.33,1.63,3.81,6.12,59.51,5.88,0
"202172220032_R01C01",0.99,0.66,2.61,9.85,4.92,0.48,0,5.77,8.6,60.68,3.42,0
"202172220032_R02C01",0.82,0.58,0,5.77,2.78,0.36,0.55,2.46,8.53,72.74,3.27,0
"202172220032_R03C01",0,2.02,0.82,12.39,4.31,1.78,1.92,2.75,10.24,58.43,3.33,0
"202172220032_R04C01",1.84,1.81,1.29,7.96,6.53,3.26,0.58,3.4,14.52,55.25,1.3,0
"202172220032_R05C01",0,0.95,0.62,16.25,1.98,10.05,4.15,2.19,3.14,54.4,4.39,0
"202172220032_R06C01",0.81,1.1,3.86,7.91,0,5.6,0.42,0.94,6.92,69.46,1.5,0
"202172220032_R07C01",0.27,0.13,4.09,9.59,0.65,5.02,0.71,2.6,10.53,58.32,6.12,0
"202172220032_R08C01",0,1.41,0.5,12.35,2.51,2.65,2.14,0.93,6.34,66.78,2.9,0
"202172220041_R01C01",3.48,0,4.51,5.22,2.4,17.61,1.31,0,5.76,46.59,8.94,4.17
"202172220041_R02C01",1.48,0.1,0,13.97,0,2.77,1.36,1.1,3.15,74.64,0,0
"202172220041_R03C01",0.42,1.06,1.62,7.32,4.04,0.4,2.12,1.18,8.54,66.9,4.55,0.05
"202172220041_R04C01",1.94,2.76,2.01,6.51,0.21,8.84,0.25,7.36,7.63,55.81,4.32,0
"202172220041_R05C01",0.4,1.69,5.68,11.59,0.54,1.83,1.56,1.25,8.06,61.82,4.64,0
"202172220041_R06C01",1.51,1.41,1.62,1.84,0.93,3.27,0.8,0,6.14,77.43,3.25,0
"202172220041_R07C01",0,2.33,2.38,9.77,0.56,11.42,0,2.22,5.68,59.18,4.5,0
"202172220041_R08C01",2.12,0.81,1.1,7.14,1.73,3.37,3.52,4.82,20.11,53.1,0.65,0
"202172220060_R01C01",0,0.96,0,1.06,0,3.95,0,3.22,8.68,76.2,2.79,0.24
"202172220060_R02C01",0.45,0.47,0,0.65,0,11.41,0,5.35,16.66,56.89,6.01,0
"202172220060_R03C01",2.17,0,3.49,5.01,0.88,3.03,0.21,7.07,6.94,63.29,6.01,0
"202172220060_R04C01",0,0.37,1.18,13.34,0.38,6.27,2.78,0.4,2.53,70.58,0.2,0
"202172220060_R06C01",1.64,4.16,0.76,8.39,0.4,0.7,0.66,4.87,7.26,65.9,3.82,0
"202172220060_R07C01",0.01,2.28,2.34,0.86,0,3.48,0.71,4.18,9.56,71.93,2.53,0
"202172220060_R08C01",1.31,0.87,2.44,7.96,1.79,0.18,2.01,2.67,9.55,62.23,7.17,0
"202172220064_R01C01",0,0.29,0,7.48,0,7.77,0.26,2.77,5.78,71.63,2.1,0
"202172220064_R02C01",0.46,2.5,5.53,9.32,0.31,4.09,0,1.65,9.48,56.72,8.16,0
"202172220064_R03C01",1.71,1,2.65,9.55,0,4.93,0,2,7.87,67.44,1.94,0.13
"202172220064_R06C01",0,0.51,0,22.26,0,12.97,0,3.38,6.37,50.47,1.8,0
"202172220064_R07C01",0.03,1.86,1.17,22.91,0.55,2.9,3.57,1.78,4.22,55.34,4.28,0
"202172220064_R08C01",1,0.77,4.08,9.43,0.12,1.92,0.94,2.63,10.82,62.64,4.15,0
"202172220075_R01C01",0.88,0,0,5.7,0,8.47,0,1.7,6.39,71.08,2.4,0
"202172220075_R02C01",0,3.18,5.04,13.76,0.13,3.95,0,2.24,9.58,51.19,8.48,0
"202172220075_R03C01",0,0.4,0.41,7.83,3.08,7.92,1.41,3.51,6.85,61.33,5.16,0
"202172220075_R04C01",0,0,0,12.13,7.74,10.32,0,2.88,0.9,60.2,3.66,0
"202172220075_R05C01",0,5.55,8.97,8.99,0,12.42,0,4.77,10.01,38.98,7.03,0
"202172220075_R06C01",0,0.97,4.19,12.16,6.45,2.64,3.19,0.33,6.57,59.45,1.89,0
"202172220075_R07C01",2.29,0.13,2.93,9.31,5.2,4.46,0.73,5.41,6.55,58.24,3.53,0
"202172220075_R08C01",0,0.43,1.94,7.51,0.49,4.4,1,1.92,9.99,68.3,2.05,0
"202172220076_R01C01",2.74,0.45,2.89,2.07,0,2.25,0.7,1.43,9.26,73.1,3.4,0.36
