CpG,estimate,exp.estimate,se,z,p.value,n,p.adjust,DHS,Enhancer,Relation_to_Island,chr,UCSC_RefGene_Name,UCSC_RefGene_Group
cg27001818,-0.9722509104242797,0.37823071575176187,0.19866007649437273,-4.894042766825471,9.878535715914623e-7,601,0.06149223840894921,Yes,No,OpenSea,chr22,LARGE;LARGE,Body;Body
cg11935248,-1.5532066382201777,0.21156846141920221,0.326192363052814,-4.761627843410598,1.9203758216965848e-6,601,0.06229513177475991,Yes,No,OpenSea,chr6,CDYL;CDYL;CDYL;CDYL,Body;Body;Body;Body
cg20187292,-1.5780258215336602,0.20638213145430287,0.3393190372564927,-4.6505667182499515,3.3102413263351128e-6,601,0.07100083455395256,Yes,No,OpenSea,chr21,,
cg09010707,-1.6636028708834152,0.18945516649207897,0.3653779765007129,-4.553101111391615,5.286085058331364e-6,601,0.08058366973208902,Yes,No,OpenSea,chr12,,
cg18871648,-1.0752937050575064,0.34119752914333135,0.23997317999602533,-4.480891177402894,7.433200689112976e-6,601,0.08146260321565203,Yes,No,S_Shore,chr14,ELMSAN1;ELMSAN1,TSS1500;5'UTR
cg06577270,-0.9417532483020423,0.3899435677902041,0.21537379088312952,-4.372645550047802,1.2274992751194642e-5,601,0.0947907036349579,Yes,No,OpenSea,chr13,,
cg14352601,-1.1569715312886306,0.31443700301367694,0.2659356413437202,-4.350569654532511,1.357843122607694e-5,601,0.09746791008905838,No,Yes,OpenSea,chr7,TBXAS1;TBXAS1;TBXAS1;TBXAS1;TBXAS1;TBXAS1,5'UTR;Body;Body;Body;Body;Body
cg00795992,-1.35853754529215,0.2570364063186499,0.31493174800669604,-4.313752277726109,1.6050679035199814e-5,601,0.09827488709601276,No,No,OpenSea,chr4,,
cg02863987,-1.223673167947665,0.29414772614810547,0.2859081154201497,-4.279952551012566,1.8693316274009e-5,601,0.10192360138948352,Yes,No,OpenSea,chr17,,
cg10919522,-0.9803507499833147,0.375179481573468,0.22979063886294165,-4.266278012169345,1.987610729425815e-5,601,0.10337435176947349,Yes,No,S_Shore,chr14,C14orf43;C14orf43,5'UTR;TSS1500
cg02087739,-1.3169616560353583,0.267948185182382,0.3111073095145283,-4.233142763795647,2.3044811221000315e-5,601,0.1034693243122564,Yes,Yes,OpenSea,chr1,,
cg23775411,-0.9774498393633458,0.37626942386419443,0.23089156687489482,-4.233371762308506,2.3021347722807544e-5,601,0.1034693243122564,No,Yes,OpenSea,chr20,,
cg06172950,-1.434421069509816,0.23825325617023166,0.3445878733357741,-4.162714884955003,3.144859517693032e-5,601,0.11239938576681056,Yes,No,OpenSea,chr13,COG3,Body
cg22575350,-2.3291670701665756,0.09737682137985926,0.5635626338220446,-4.132933822049766,3.581618767614134e-5,601,0.11863278913245878,Yes,No,OpenSea,chr19,MED25,Body
cg17381727,-1.6994219676690272,0.18278915156108957,0.41230951174534014,-4.121714195908879,3.7606358178700206e-5,601,0.12056307910869306,Yes,Yes,OpenSea,chr1,LINC01135;LINC01135;LINC01135,Body;Body;Body
cg26276395,0.60633334468486,1.8336955278163045,0.1472781562038087,4.116926503654721,3.839584480646464e-5,601,0.12101657448748084,No,No,OpenSea,chr1,,
cg08012149,0.851436102744964,2.343009238981048,0.20890947999523454,4.075622143927533,4.58914858313265e-5,601,0.12383820541074049,Yes,Yes,OpenSea,chr6,RUNX2;RUNX2;RUNX2,Body;Body;Body
